fare_amount,hour,day,month,year,dayofweek,distance_km
7.3,8,1,9,2009,1,1.6347397317311803
8.0,22,6,10,2014,0,1.1709087840516639
10.5,17,6,7,2014,6,4.17242859769666
10.9,16,3,7,2010,5,2.165958086997421
4.0,5,1,5,2013,2,0.7345038948157345
5.3,12,5,12,2010,6,1.6765310625386098
11.0,20,28,3,2013,3,1.854114448349347
8.5,19,10,8,2012,4,3.4241809145655444
7.7,14,14,4,2011,3,2.61359891915714
6.9,8,27,10,2009,1,0.3303539241347845
8.5,8,20,7,2011,2,1.8324650738434272
6.9,4,27,5,2011,4,3.7704094116177456
10.0,19,8,12,2013,6,1.3649209144351022
8.1,17,8,12,2011,3,2.2823115656337984
7.7,20,21,10,2011,4,2.303593774365569
6.5,11,15,3,2009,6,1.8249589950108653
13.5,12,14,6,2014,5,1.088800965197342
8.5,15,19,1,2012,3,2.8310567355004377
6.9,15,30,6,2009,1,1.6703776469982805
6.5,8,31,1,2012,1,1.9584525240700241
15.7,1,23,8,2009,6,3.4180036009582375
6.9,11,17,7,2012,1,2.4632413657055676
13.5,22,12,2,2015,3,4.855845579216162
7.0,14,26,10,2013,5,1.6502552804685326
4.9,6,3,10,2009,5,1.53744249110269
2.9,13,1,3,2009,6,0.30231083198706904
13.0,4,12,7,2013,4,3.3508753948328223
6.1,12,7,7,2012,5,1.756713539284213
12.1,15,28,1,2010,3,3.1399616880985364
13.7,18,9,11,2011,2,3.8763243935317386
13.7,18,19,1,2010,1,4.410970802107173
4.5,14,28,3,2012,2,1.8870411409879788
7.7,9,3,11,2011,3,1.875424150564674
7.3,10,5,5,2009,1,1.7957899471422405
4.1,17,12,9,2009,5,0.5878919800532983
5.3,9,2,2,2012,3,1.336916657398107
6.5,17,9,7,2009,3,2.2472553842563543
6.5,14,17,7,2014,3,1.2986497687496077
10.0,6,27,9,2014,5,3.1837245955393954
8.0,8,6,5,2015,2,2.557919407098295
6.1,6,25,6,2012,0,2.059325327520068
6.9,18,14,7,2010,2,1.7191078788398577
10.9,20,21,7,2009,1,4.837801751455928
6.1,11,18,1,2011,1,0.689299691978333
3.7,1,19,6,2009,4,0.6487588242357817
13.0,9,23,6,2015,1,2.407775618943141
8.5,12,8,2,2010,0,3.4855586919653283
13.7,12,9,8,2012,3,4.286420087809299
8.5,3,16,1,2011,6,2.35130464507727
7.5,9,12,2,2015,3,1.5321374061126773
4.9,6,9,11,2010,1,1.1877902525171204
9.7,5,29,5,2012,1,4.322643452435361
12.5,1,9,10,2014,3,3.56582023147003
5.0,15,20,5,2013,0,0.5891560867853438
7.3,10,10,6,2010,3,1.7141408043529727
7.7,10,1,9,2009,1,1.6024919482725097
8.5,1,21,12,2014,6,2.270868079374946
5.7,10,7,4,2009,1,1.09363605757414
16.0,21,3,11,2012,5,5.016563663710181
11.7,19,13,5,2009,2,5.216820547908627
10.1,15,12,3,2010,4,3.4222747647531446
7.3,7,6,1,2010,2,3.8769461918170367
4.5,5,5,8,2012,6,0.724094140493877
4.0,23,9,1,2013,2,0.5204331205042156
8.5,20,4,7,2010,6,4.138844778802447
5.0,0,20,10,2013,6,0.6952563314886624
6.5,7,14,1,2010,3,2.3045680887788653
7.0,21,2,1,2014,3,1.313556364781127
7.3,23,7,8,2009,4,1.5779727400121908
12.1,18,3,12,2010,4,4.688859098572971
10.1,11,9,12,2011,4,2.1122881896816694
5.7,1,1,6,2012,4,0.8856642343455837
12.9,7,1,11,2009,6,3.8341276960064965
5.3,10,28,9,2011,2,1.7309376806477024
5.5,10,6,6,2014,4,1.0125777823539845
8.1,1,3,9,2011,5,3.1809355115811466
9.3,12,27,8,2012,0,1.9477381619315652
5.0,21,12,7,2013,4,0.8459753242810392
6.5,17,24,12,2013,1,1.2687641610417053
5.3,20,23,10,2010,5,1.341469090112928
5.5,9,21,6,2014,5,1.4588212741232125
11.0,19,7,9,2013,5,2.2895891697890076
5.5,11,16,12,2012,6,0.9260446369753592
10.0,10,6,1,2013,6,2.0441510224876565
10.1,13,2,5,2011,0,3.6923467497482414
6.9,23,15,8,2009,5,2.0193937150945636
7.5,8,14,3,2013,3,1.0099600329226428
8.5,19,6,2,2014,3,1.4917164497281539
6.5,19,23,5,2011,0,1.5197842585245847
9.3,6,15,2,2011,1,3.618682940041297
13.5,22,31,1,2013,3,4.915386749198424
5.0,1,5,3,2014,2,1.1679747955836208
14.5,8,1,4,2013,0,3.950992404159112
4.9,12,24,6,2010,3,1.0237553561136898
5.7,15,12,5,2010,2,1.3942805295918677
3.7,10,19,2,2009,3,0.8182877039285525
4.9,13,22,5,2009,4,1.2266905596832176
4.1,16,8,11,2009,6,0.6486957386533257
9.5,8,14,9,2012,4,2.0517298436165694
12.5,20,21,8,2012,1,4.465556054473431
4.1,16,12,10,2010,1,0.3679835693101664
7.0,21,1,3,2013,4,2.257549193439899
8.5,12,23,3,2013,5,1.2724609045608566
6.9,15,8,10,2011,5,1.5426474724905959
10.1,11,10,1,2012,1,2.7696144018115754
8.1,7,13,7,2011,2,3.003061786195949
5.3,18,18,8,2012,5,0.5137190967197895
8.5,7,30,6,2014,0,0.47050034988161377
10.0,14,18,3,2013,0,1.1522139871025332
10.5,13,29,4,2015,2,2.3595550157330947
7.7,14,19,6,2009,4,1.8238901986447116
6.0,2,18,5,2013,5,0.7301486345360417
4.5,13,17,5,2009,6,1.1702791463842754
15.7,13,30,11,2011,2,4.2781809891280105
5.7,15,1,12,2009,1,2.139017880313044
6.9,7,13,3,2009,4,1.941975285154885
10.0,6,10,1,2014,4,3.2200879993819402
16.0,22,28,4,2015,1,4.81546047899345
8.0,5,24,12,2014,2,2.4680497321622226
10.5,2,18,1,2010,0,3.9266805789984933
5.5,10,30,3,2015,0,1.082968125132097
10.0,16,9,3,2015,0,1.9084317627142875
4.9,14,26,8,2012,6,0.9767578109942828
5.7,22,8,2,2010,0,2.167496833993044
17.0,16,30,5,2014,4,5.3585685381251675
6.9,11,20,6,2012,2,1.4984450018244408
11.0,7,23,9,2014,1,2.04737703722574
9.7,10,17,6,2011,4,2.014338963317531
10.0,12,27,5,2015,2,1.6805941169940493
4.9,11,17,1,2011,0,1.0114896251797503
7.7,20,13,8,2009,3,2.446986403749231
7.7,20,12,7,2012,3,0.628884587212238
10.1,3,1,7,2012,6,3.860188600135882
7.7,17,9,5,2009,5,1.8677020367157384
16.5,21,12,8,2014,1,4.72995828903444
5.5,19,9,8,2013,4,1.144983266029886
12.1,0,22,6,2011,2,4.94341211560744
7.7,12,23,8,2012,3,2.385317493719647
13.3,1,22,1,2011,5,3.5990499119217834
6.0,21,2,11,2013,5,1.7966359767670328
5.5,20,20,10,2014,0,0.9219212212477702
6.9,17,26,11,2011,5,1.7779475922607997
8.5,15,6,5,2014,1,1.6167563571176653
14.0,18,18,2,2013,0,4.373193825958535
11.7,19,21,8,2012,1,4.350327016467497
5.5,9,26,3,2013,1,1.3296948794203678
6.5,4,3,6,2011,4,3.2128007857349123
4.1,21,27,11,2009,4,0.7368999493036966
5.5,21,22,7,2013,0,1.393508725557734
8.5,19,7,11,2014,4,0.955671724377883
5.0,7,9,1,2015,4,1.1105026462330208
11.7,21,16,7,2011,5,4.94973360637496
12.9,0,20,3,2011,6,4.99185599788375
6.0,15,29,7,2014,1,0.6466667377808509
16.0,12,7,12,2013,5,4.657547813544361
6.9,6,8,3,2010,0,2.3135911583386632
10.5,15,12,4,2011,1,3.0585890877873982
10.0,21,4,4,2014,4,2.8096582427651575
12.0,19,27,9,2013,4,2.6131725584248833
8.1,9,17,5,2012,3,1.8418250117103023
5.7,16,18,7,2010,6,1.5784898224135961
6.0,14,27,2,2015,4,1.3788023636889992
5.3,10,2,4,2012,0,1.771853499865182
11.3,12,23,5,2009,5,4.324516051166294
4.9,8,22,3,2011,1,1.2998160868325814
9.3,14,8,5,2011,6,2.5144561626120185
9.7,9,17,5,2012,3,3.2141603655122255
4.1,11,23,3,2011,2,0.7117741275039474
8.9,10,25,2,2010,3,2.4111674340193887
9.0,9,22,2,2014,5,2.6403823161051294
8.9,19,24,8,2010,1,3.006555391834878
7.3,14,7,12,2011,2,1.1513510214485814
10.9,13,18,12,2009,4,3.794465914410548
7.5,16,7,5,2014,2,1.0972825848699763
6.1,20,15,3,2011,1,1.4287863444375624
6.5,17,21,3,2011,0,3.8393861681817696
14.5,23,10,7,2009,4,5.620726774112392
7.7,0,19,11,2009,3,2.3288639732138265
7.3,6,20,1,2010,2,3.1788424856431554
8.5,15,13,7,2009,0,1.8647639383368804
7.3,8,19,2,2009,3,2.963553176180463
9.5,11,19,10,2012,4,2.5259695102002695
10.5,9,19,3,2009,3,3.3961306499287875
4.5,19,3,4,2015,4,0.8089594611362111
5.5,19,28,10,2013,0,1.2626357775465145
12.9,8,22,12,2011,3,5.295742419337375
10.9,0,16,4,2009,3,3.7599250810082814
5.0,14,29,12,2013,6,0.5598721539125077
5.0,19,29,5,2014,3,0.8575034204720363
8.1,1,31,7,2011,6,2.4453944426057084
12.0,7,16,8,2013,4,2.819295987889632
4.5,12,10,1,2009,5,0.6631041472956394
5.0,22,19,5,2015,1,1.5291731070904129
9.7,22,13,3,2010,5,2.8065513550692898
7.7,7,22,2,2012,2,2.4154324307635417
6.1,11,12,6,2012,1,1.6709843613120836
9.7,22,20,9,2011,1,2.308944512552436
14.9,14,7,9,2011,2,5.069401910796752
6.9,4,17,2,2011,3,2.279421025733515
7.7,22,29,5,2011,6,2.1758691783846973
6.5,5,23,1,2013,2,1.7822525021825808
6.5,20,11,2,2010,3,2.027688756057334
14.5,17,3,2,2011,3,4.9352300464360095
7.5,8,7,9,2012,4,1.769928161710339
9.7,6,1,6,2012,4,3.5464396537484224
8.3,19,23,3,2009,0,1.9302258902607161
10.5,19,5,9,2012,2,2.8967432880716313
7.3,13,28,6,2011,1,1.735643014457726
8.1,19,29,12,2011,3,3.1796644885678442
10.9,6,30,1,2009,4,3.3392445705126907
10.0,19,15,7,2014,1,2.802430183583537
4.5,21,26,8,2010,3,0.7780865110263164
5.3,11,9,9,2011,4,1.0555353476069769
5.3,14,15,4,2009,2,1.1033669678745284
4.9,13,19,2,2010,4,1.33040770820829
5.3,15,21,8,2011,6,1.0945866164540787
5.0,6,28,3,2014,4,1.1278499642768118
4.9,1,21,5,2012,0,1.5250889669863297
8.0,5,20,2,2013,2,2.1328608028141613
4.5,21,14,1,2009,2,1.2171679785514073
9.5,21,29,1,2014,2,2.0581976898652865
6.1,8,24,6,2010,3,1.593353048937061
7.3,15,30,6,2011,3,1.5271106042932332
7.0,15,23,5,2014,4,1.442507945697327
8.5,21,27,3,2009,4,2.976385535408005
8.5,12,6,6,2013,3,1.906440686054168
9.7,14,26,4,2012,3,2.4351996823228843
6.5,22,5,4,2013,4,1.5220737439206715
7.5,7,27,11,2012,1,2.114515014833357
3.7,16,23,1,2010,5,0.4245325711488023
4.9,1,24,10,2010,6,1.2843362590399507
8.9,15,27,4,2011,2,3.956542175891588
10.0,8,13,3,2014,3,3.182329989924082
3.7,1,6,7,2011,2,1.1827263124061926
4.9,18,5,3,2010,4,1.0031385377650417
7.3,7,14,7,2009,1,3.4830794727246497
8.9,8,10,4,2009,4,2.2072482492207195
15.3,17,14,2,2010,6,4.772433837136159
10.1,12,13,3,2009,4,2.666076720259446
5.5,13,12,7,2013,4,1.0131133999735635
4.5,1,24,4,2010,5,1.2246379556345868
6.0,8,10,9,2014,2,1.4105450352135576
12.5,18,11,4,2013,3,1.782240530497169
10.5,1,19,5,2015,1,1.8879745440843898
13.7,18,13,2,2009,4,5.532819790898333
4.9,14,21,9,2011,2,1.2364904436146462
5.5,22,14,9,2012,4,0.7549109189537668
10.5,14,7,3,2009,5,3.376199966055147
7.3,7,17,6,2012,6,2.4262578997754094
9.0,11,8,12,2013,6,2.4946245113443926
12.1,16,25,7,2012,2,1.4965123030496386
10.1,20,3,5,2012,3,2.3117124672103513
6.5,10,19,9,2013,3,1.5012249072638366
8.5,8,2,1,2010,5,2.866726497483376
4.5,7,16,6,2013,6,1.303412003054174
4.5,13,20,10,2010,2,0.6665934489754797
9.3,21,31,5,2010,0,2.6992944431691024
12.1,9,1,10,2009,3,4.603838157346115
9.0,20,4,2,2013,0,2.0045405228933215
7.7,13,7,8,2012,1,2.1234283847925575
9.7,9,16,4,2009,3,2.0471529086790152
4.0,15,13,11,2013,2,0.6356035452825931
12.1,8,19,4,2011,1,3.3328102761017444
8.1,19,9,4,2009,3,2.053885589954587
8.0,13,13,7,2013,5,1.9971702283198465
3.7,13,27,3,2012,1,0.3971162847931881
6.5,20,8,3,2012,3,1.8780505771854543
6.1,15,20,6,2012,2,0.7254555398749604
7.3,8,21,6,2011,1,2.0819003168940307
9.0,1,23,5,2015,5,3.5508946943494357
8.5,12,15,4,2010,3,1.8263162654522043
6.5,0,29,5,2010,5,2.296207566103665
10.5,21,28,8,2010,5,4.874016812913134
16.0,6,15,6,2014,6,4.5888468712853
12.0,21,30,9,2012,6,3.5783937457706916
13.3,13,23,4,2011,5,3.4365355983531223
6.5,11,17,2,2014,0,0.9312752535330651
3.7,11,1,8,2012,2,0.6826705903551781
9.7,13,16,2,2012,3,1.703318135400517
10.1,12,23,12,2011,4,4.848648872265706
8.0,12,11,12,2013,2,1.5513291273704657
3.7,7,27,2,2009,4,1.0068059795936866
7.3,20,17,1,2009,5,1.8224903184637256
7.7,15,2,3,2009,0,2.8553257860271293
4.0,7,9,4,2015,3,0.4931160978629104
3.7,13,31,7,2009,4,1.2713275647908724
15.0,13,23,7,2013,1,3.331557140128056
8.9,5,2,2,2010,1,3.962511261082473
7.5,19,17,2,2009,1,1.549730465341737
12.9,4,8,5,2011,6,5.152810739533518
6.9,7,17,9,2009,3,2.2364938763952305
14.0,11,15,11,2012,3,3.8091428534130016
12.9,8,11,11,2010,3,3.0454411605267735
13.5,19,11,12,2013,2,3.449292670515049
6.1,5,4,4,2012,2,2.0277356233908943
11.5,19,10,1,2013,3,2.929056967648682
8.1,23,11,6,2010,4,2.3443383874515735
7.7,23,9,6,2012,5,1.8585687935567705
3.7,21,18,10,2010,0,0.6093887794883855
3.7,22,19,8,2010,3,0.8047479377006436
11.5,23,29,9,2014,0,3.3042514875572175
5.0,22,29,9,2012,5,0.9185066729124346
11.0,3,22,11,2013,4,3.536312910527287
8.9,2,24,2,2012,4,3.407796403381226
8.9,9,6,10,2009,1,1.287901664231698
3.5,2,13,12,2014,5,0.3101599228565941
7.3,21,2,12,2010,3,2.839130138779466
8.5,15,18,11,2013,0,1.6212910840486203
6.5,18,23,12,2013,0,1.340399521664385
